"NO_CINE_AREA_GERAL","QT_CONC_FEM","QT_CONC_MASC","QT_CONC","NU_ANO_CENSO"
"Agricultura, silvicultura, pesca e veterinária",2219,5149,7368,1995
"Artes e humanidades",68395,13026,81421,1995
"Ciências naturais, matemática e estatística",15332,12084,27416,1995
"Engenharia, produção e construção",3565,14266,17831,1995
"Negócios, administração e direito",61482,57166,118648,1995
"Saúde e bem-estar",25830,12479,38309,1995
"Agricultura, silvicultura, pesca e veterinária",28,64,92,1996
"Artes e humanidades",373,62,435,1996
"Ciências naturais, matemática e estatística",90,59,149,1996
"Engenharia, produção e construção",34,89,123,1996
"Negócios, administração e direito",252,176,428,1996
"Saúde e bem-estar",178,37,215,1996
"Agricultura, silvicultura, pesca e veterinária",3440,5635,9075,1997
"Artes e humanidades",101544,21110,122654,1997
"Ciências naturais, matemática e estatística",25689,20167,45856,1997
"Engenharia, produção e construção",5901,21530,27431,1997
"Negócios, administração e direito",95706,85753,181459,1997
"Saúde e bem-estar",42783,20100,62883,1997
"Agricultura, silvicultura, pesca e veterinária",1937,3256,5193,1998
"Artes e humanidades",23329,6386,29715,1998
"Ciências naturais, matemática e estatística",9439,5931,15370,1998
"Ciências sociais, comunicação e informação",9932,4825,14757,1998
"Computação e Tecnologias da Informação e Comunicação (TIC)",4759,6885,11644,1998
"Educação",29560,5302,34862,1998
"Engenharia, produção e construção",6338,14558,20896,1998
"Negócios, administração e direito",41662,42912,84574,1998
"Saúde e bem-estar",31169,11002,42171,1998
"Serviços",1025,233,1258,1998
"Agricultura, silvicultura, pesca e veterinária",2077,3566,5643,1999
"Artes e humanidades",24238,7158,31396,1999
"Ciências naturais, matemática e estatística",9824,6491,16315,1999
"Ciências sociais, comunicação e informação",10583,5524,16107,1999
"Computação e Tecnologias da Informação e Comunicação (TIC)",5780,8576,14356,1999
"Educação",33460,6181,39641,1999
"Engenharia, produção e construção",6330,15791,22121,1999
"Negócios, administração e direito",49137,48426,97563,1999
"Saúde e bem-estar",34626,11450,46076,1999
"Serviços",1528,414,1942,1999
